cell,tag,env,partition,statistic,engine,n_test,regions,tp,precision,recall,widest_Mb,med_occupancy,occ_all_units,widest_all_Mb,n_qtn
V1_c1.5,nobgs,5,stage 1,Simes,LFMM,93906,1,0,0,0,8.11756,0.0227624651594921,1,17.944561,23
V1_c1.5,nobgs,5,stage 2,consensus,LFMM,90547,41,5,0.121951219512195,0.217391304347826,17.944561,0.0274920731442471,1,17.944561,23
V1_c1.5,nobgs,6,stage 2,Simes,EMMAX,91998,65,4,0.0615384615384615,0.19047619047619,12.882744,0.101851851851852,1,17.303521,21
V1_c1.5,nobgs,6,stage 1,Simes,EMMAX,95133,75,4,0.0533333333333333,0.19047619047619,12.882744,0.1,1,17.303521,21
V1_c1.5,nobgs,6,stage 2,consensus,EMMAX,91998,57,4,0.0701754385964912,0.19047619047619,12.882744,0.1,1,17.303521,21
V1_c1.5,nobgs,6,stage 2,Simes,LFMM,91998,204,7,0.0343137254901961,0.380952380952381,12.882744,0.113661485319516,1,17.303521,21
V1_c1.5,nobgs,6,stage 1,Simes,LFMM,95133,251,7,0.0278884462151394,0.380952380952381,12.882744,0.115384615384615,1,17.303521,21
V1_c1.5,nobgs,6,stage 2,consensus,LFMM,91998,717,7,0.0097629009762901,0.380952380952381,12.882744,0.133333333333333,1,17.303521,21
V1_c1.5,nobgs,7,stage 2,Simes,EMMAX,90928,2,2,1,0.166666666666667,0.880687,0.0998844189797428,1,13.709172,24
V1_c1.5,nobgs,7,stage 1,Simes,EMMAX,93991,2,2,1,0.166666666666667,0.880687,0.0998844189797428,1,13.709172,24
V1_c1.5,nobgs,7,stage 2,consensus,EMMAX,90928,2,1,0.5,0.0416666666666667,10.388038,0.0333586074987922,1,13.709172,24
V1_c1.5,nobgs,7,stage 2,Simes,LFMM,90928,14,2,0.142857142857143,0.166666666666667,3.195745,0.0571689346166611,1,13.709172,24
V1_c1.5,nobgs,7,stage 1,Simes,LFMM,93991,14,2,0.142857142857143,0.166666666666667,3.195745,0.0571689346166611,1,13.709172,24
V1_c1.5,nobgs,7,stage 2,consensus,LFMM,90928,78,4,0.0512820512820513,0.166666666666667,10.966315,0.103006189213086,1,13.709172,24
V1_c1.5,nobgs,8,stage 2,Simes,EMMAX,90460,14,3,0.214285714285714,0.130434782608696,12.229558,0.117142857142857,1,15.754781,23
V1_c1.5,nobgs,8,stage 1,Simes,EMMAX,93401,28,3,0.107142857142857,0.130434782608696,12.229558,0.12,1,15.754781,23
V1_c1.5,nobgs,8,stage 2,consensus,EMMAX,90460,17,2,0.117647058823529,0.0869565217391304,12.229558,0.105263157894737,1,15.754781,23
V1_c1.5,nobgs,8,stage 2,Simes,LFMM,90460,127,4,0.031496062992126,0.173913043478261,14.935136,0.127738927738928,1,15.754781,23
V1_c1.5,nobgs,8,stage 1,Simes,LFMM,93401,141,4,0.0283687943262411,0.173913043478261,14.935136,0.122740963855422,1,15.754781,23
V1_c1.5,nobgs,8,stage 2,consensus,LFMM,90460,187,7,0.0374331550802139,0.304347826086957,12.409432,0.135135135135135,1,15.754781,23
V1_c1.5,nobgs,9,stage 2,Simes,EMMAX,90358,0,0,0,0,,,1,17.951942,26
V1_c1.5,nobgs,9,stage 1,Simes,EMMAX,93855,0,0,0,0,,,1,17.951942,26
V1_c1.5,nobgs,9,stage 2,consensus,EMMAX,90358,0,0,0,0,,,1,17.951942,26
V1_c1.5,nobgs,9,stage 2,Simes,LFMM,90358,0,0,0,0,,,1,17.951942,26
V1_c1.5,nobgs,9,stage 1,Simes,LFMM,93855,0,0,0,0,,,1,17.951942,26
V1_c1.5,nobgs,9,stage 2,consensus,LFMM,90358,5,1,0.2,0.0384615384615385,11.976591,0.0125560462028565,1,17.951942,26
V1_c1.5,nobgs,10,stage 2,Simes,EMMAX,91302,6,3,0.5,0.166666666666667,11.962109,0.0382707962945635,1,17.14706,24
V1_c1.5,nobgs,10,stage 1,Simes,EMMAX,94543,14,4,0.285714285714286,0.25,11.962109,0.0157894736842105,1,17.14706,24
V1_c1.5,nobgs,10,stage 2,consensus,EMMAX,91302,11,4,0.363636363636364,0.25,13.550384,0.0306517909571345,1,17.14706,24
V1_c1.5,nobgs,10,stage 2,Simes,LFMM,91302,21,3,0.142857142857143,0.166666666666667,13.550384,0.0375269905621778,1,17.14706,24
V1_c1.5,nobgs,10,stage 1,Simes,LFMM,94543,35,4,0.114285714285714,0.25,13.550384,0.0375269905621778,1,17.14706,24
V1_c1.5,nobgs,10,stage 2,consensus,LFMM,91302,77,5,0.0649350649350649,0.291666666666667,14.810354,0.0327689099056312,1,17.14706,24
V2_c1,nobgs,1,stage 2,Simes,EMMAX,104374,2,1,0.5,0.1,0.503385,0.625,1,3.894746,10
V2_c1,nobgs,1,stage 1,Simes,EMMAX,104719,2,1,0.5,0.1,0.503385,0.625,1,3.894746,10
V2_c1,nobgs,1,stage 2,consensus,EMMAX,104374,2,1,0.5,0.1,0.503385,0.625,1,3.894746,10
V2_c1,nobgs,1,stage 2,Simes,LFMM,104374,3,2,0.666666666666667,0.2,0.503385,0.25,1,3.894746,10
V2_c1,nobgs,1,stage 1,Simes,LFMM,104719,3,2,0.666666666666667,0.2,0.503385,0.25,1,3.894746,10
V2_c1,nobgs,1,stage 2,consensus,LFMM,104374,4,2,0.5,0.2,0.503385,0.264705882352941,1,3.894746,10
V2_c1,nobgs,2,stage 2,Simes,EMMAX,104416,17,3,0.176470588235294,0.272727272727273,1.000864,1,1,3.896755,11
V2_c1,nobgs,2,stage 1,Simes,EMMAX,104801,17,3,0.176470588235294,0.272727272727273,1.000864,1,1,3.896755,11
V2_c1,nobgs,2,stage 2,consensus,EMMAX,104416,18,3,0.166666666666667,0.272727272727273,1.000864,0.7,1,3.896755,11
