arm,cell,tag,env,n_test,regions,tp,precision,recall,on_ntrl,FDP_ntrl,n_qtn
cluster-then-test,V2_c1,nobgs,3,103512,13,6,0.461538461538462,0.375,1,0.121342561332433,16
test-then-cluster,V2_c1,nobgs,3,103953,13,6,0.461538461538462,0.375,1,0.121342561332433,16
single SNP,V2_c1,nobgs,3,298956,58,11,0.189655172413793,0.6875,14,0.405682593111418,16
consensus (no n penalty),V2_c1,nobgs,3,103512,14,6,0.428571428571429,0.375,2,0.242685122664866,16
cluster-then-test,V2_c1,nobgs,4,105523,6,5,0.833333333333333,0.5,0,0,10
test-then-cluster,V2_c1,nobgs,4,105932,7,5,0.714285714285714,0.5,0,0,10
single SNP,V2_c1,nobgs,4,304694,26,7,0.269230769230769,0.7,7,0.445370632204041,10
consensus (no n penalty),V2_c1,nobgs,4,105523,5,4,0.8,0.4,0,0,10
cluster-then-test,V2_c1,nobgs,5,104714,1,1,1,0.0714285714285714,0,0,14
test-then-cluster,V2_c1,nobgs,5,105058,2,2,1,0.142857142857143,0,0,14
single SNP,V2_c1,nobgs,5,304589,22,6,0.272727272727273,0.428571428571429,4,0.299740374238942,14
consensus (no n penalty),V2_c1,nobgs,5,104714,3,3,1,0.214285714285714,0,0,14
cluster-then-test,V2_c1,nobgs,6,105361,25,4,0.16,0.363636363636364,5,0.393101389795728,11
test-then-cluster,V2_c1,nobgs,6,105794,26,4,0.153846153846154,0.363636363636364,6,0.436779321995253,11
single SNP,V2_c1,nobgs,6,307147,95,5,0.0526315789473684,0.454545454545455,32,0.641798187421597,11
consensus (no n penalty),V2_c1,nobgs,6,105361,26,4,0.153846153846154,0.363636363636364,4,0.302385684458252,11
cluster-then-test,V2_c1,nobgs,7,103638,1,1,1,0.0666666666666667,0,0,15
test-then-cluster,V2_c1,nobgs,7,104050,1,1,1,0.0666666666666667,0,0,15
single SNP,V2_c1,nobgs,7,298200,2,1,0.5,0.0666666666666667,0,0,15
consensus (no n penalty),V2_c1,nobgs,7,103638,2,1,0.5,0.0666666666666667,0,0,15
cluster-then-test,V2_c1,nobgs,8,104276,4,2,0.5,0.125,0,0,16
test-then-cluster,V2_c1,nobgs,8,104723,8,3,0.375,0.1875,1,0.244862113014728,16
single SNP,V2_c1,nobgs,8,303448,55,5,0.0909090909090909,0.3125,19,0.676709839604339,16
consensus (no n penalty),V2_c1,nobgs,8,104276,7,3,0.428571428571429,0.1875,1,0.279842414873975,16
cluster-then-test,V2_c1,nobgs,9,105156,0,0,0,0,0,0,17
test-then-cluster,V2_c1,nobgs,9,105552,0,0,0,0,0,0,17
single SNP,V2_c1,nobgs,9,303632,0,0,0,0,0,0,17
consensus (no n penalty),V2_c1,nobgs,9,105156,0,0,0,0,0,0,17
cluster-then-test,V2_c1,nobgs,10,105148,8,1,0.125,0.0769230769230769,0,0,13
test-then-cluster,V2_c1,nobgs,10,105581,10,2,0.2,0.153846153846154,0,0,13
single SNP,V2_c1,nobgs,10,302347,77,7,0.0909090909090909,0.538461538461538,18,0.43194229157652,13
consensus (no n penalty),V2_c1,nobgs,10,105148,6,0,0,0,0,0,13
