ldw,rho,floor,engine,n_test,flagged,regions,tp_reg,tp_qtn,n_qtn,n_qtn_legacy,prec,rec,cell,tag,env
0.0125,0.65,2,lfm,37040,19,18,10,12,19,17,0.555555555555556,0.631578947368421,V0.5_c1,bgs,7
0.0125,0.65,5,emx,9161,15,13,9,10,19,17,0.692307692307692,0.526315789473684,V0.5_c1,bgs,7
0.0125,0.65,5,lfm,9161,18,17,11,13,19,17,0.647058823529412,0.68421052631579,V0.5_c1,bgs,7
0.025,0.35,1,emx,84276,18,13,10,11,19,17,0.769230769230769,0.578947368421053,V0.5_c1,bgs,7
0.025,0.35,1,lfm,84276,21,18,11,13,19,17,0.611111111111111,0.68421052631579,V0.5_c1,bgs,7
0.025,0.35,2,emx,39359,19,15,11,12,19,17,0.733333333333333,0.631578947368421,V0.5_c1,bgs,7
0.025,0.35,2,lfm,39359,22,19,11,13,19,17,0.578947368421053,0.68421052631579,V0.5_c1,bgs,7
0.025,0.35,5,emx,9920,21,14,9,11,19,17,0.642857142857143,0.578947368421053,V0.5_c1,bgs,7
0.025,0.35,5,lfm,9920,21,16,10,12,19,17,0.625,0.631578947368421,V0.5_c1,bgs,7
0.025,0.5,1,emx,83973,15,13,10,11,19,17,0.769230769230769,0.578947368421053,V0.5_c1,bgs,7
0.025,0.5,1,lfm,83973,17,15,10,12,19,17,0.666666666666667,0.631578947368421,V0.5_c1,bgs,7
0.025,0.5,2,emx,39108,15,14,11,12,19,17,0.785714285714286,0.631578947368421,V0.5_c1,bgs,7
0.025,0.5,2,lfm,39108,19,18,10,12,19,17,0.555555555555556,0.631578947368421,V0.5_c1,bgs,7
0.025,0.5,5,emx,9782,15,12,9,11,19,17,0.75,0.578947368421053,V0.5_c1,bgs,7
0.025,0.5,5,lfm,9782,17,16,10,12,19,17,0.625,0.631578947368421,V0.5_c1,bgs,7
0.025,0.65,1,emx,83637,14,12,9,10,19,17,0.75,0.526315789473684,V0.5_c1,bgs,7
0.025,0.65,1,lfm,83637,17,15,10,12,19,17,0.666666666666667,0.631578947368421,V0.5_c1,bgs,7
0.025,0.65,2,emx,38853,14,13,11,12,19,17,0.846153846153846,0.631578947368421,V0.5_c1,bgs,7
0.025,0.65,2,lfm,38853,20,19,11,13,19,17,0.578947368421053,0.68421052631579,V0.5_c1,bgs,7
0.025,0.65,5,emx,9634,14,12,9,10,19,17,0.75,0.526315789473684,V0.5_c1,bgs,7
0.025,0.65,5,lfm,9634,17,16,11,13,19,17,0.6875,0.68421052631579,V0.5_c1,bgs,7
0.05,0.35,1,emx,84396,19,13,10,11,19,17,0.769230769230769,0.578947368421053,V0.5_c1,bgs,7
0.05,0.35,1,lfm,84396,23,19,12,13,19,17,0.631578947368421,0.68421052631579,V0.5_c1,bgs,7
