tag	cell	method	arm	floor	TP	FP	n_regions	n_detectable_qtn	n_recovered	n_tests	n_eligible_markers	n_eligible_units	frac_markers_retained	frac_dqtn_covered	precision	recall	realised_fdp	precision_ci_lo	precision_ci_hi	recall_ci_lo	recall_ci_hi	fdp_ci_lo	fdp_ci_hi
bgs	V0.5_c1	emmax	B_floor_filtered_marker	5	94	131	225	167	77	305535	305535	39152	0.19865829567821	0.730639730639731	0.417777777777778	0.461077844311377	0.582222222222222	0.349591522614255	0.507938629997454	0.369426751592357	0.548803665668236	0.492061370002547	0.650408477385745
bgs	V0.5_c1	emmax	B_floor_filtered_marker	10	60	50	110	167	51	106654	106654	6421	0.0695106747472505	0.393939393939394	0.545454545454545	0.305389221556886	0.454545454545455	0.455336850649351	0.64367816091954	0.231237980769231	0.390558387395737	0.35632183908046	0.544663149350649
bgs	V0.5_c1	emmax	B_floor_filtered_marker	20	23	17	40	167	21	41832	41832	1276	0.0272014586851409	0.131313131313131	0.575	0.125748502994012	0.425	0.372049956933678	0.8	0.0952380952380952	0.159515555232875	0.2	0.627950043066322
bgs	V0.5_c1.5	emmax	B_floor_filtered_marker	1	48	276	324	281	45	1615784	1615784	820259	1	1	0.148148148148148	0.160142348754448	0.851851851851852	0.123114611519134	0.178686499615936	0.118634047182776	0.2	0.821313500384065	0.876885388480866
bgs	V0.5_c1.5	emmax	B_floor_filtered_marker	2	51	339	390	281	48	1101389	1101389	305864	0.681824576375512	1	0.130769230769231	0.170818505338078	0.869230769230769	0.105392156862745	0.158611455748553	0.124558291949596	0.214815538194444	0.841388544251448	0.894607843137255
bgs	V0.5_c1.5	emmax	B_floor_filtered_marker	3	55	331	386	281	51	790759	790759	150549	0.489796832221647	0.984166666666667	0.142487046632124	0.181494661921708	0.857512953367876	0.11491271325156	0.174688040395656	0.137922355936126	0.22434217777043	0.825311959604344	0.88508728674844
bgs	V0.5_c1.5	emmax	B_floor_filtered_marker	5	59	306	365	281	57	472598	472598	54958	0.293076401681776	0.896666666666667	0.161643835616438	0.202846975088968	0.838356164383562	0.139344262295082	0.189258492638028	0.157718120805369	0.25278915620397	0.810741507361972	0.860655737704918
bgs	V0.5_c1.5	emmax	B_floor_filtered_marker	10	55	211	266	281	54	210170	210170	12559	0.130621393753192	0.693	0.206766917293233	0.192170818505338	0.793233082706767	0.182130035242581	0.238938053097345	0.153310104529617	0.235074626865672	0.761061946902655	0.817869964757419
bgs	V0.5_c1.5	emmax	B_floor_filtered_marker	20	37	99	136	281	35	84247	84247	2664	0.0524070018903702	0.353	0.272058823529412	0.124555160142349	0.727941176470588	0.214801587301587	0.321434815184815	0.082234492481203	0.167923212882954	0.678565184815185	0.785198412698413
bgs	V0.5_c2	emmax	B_floor_filtered_marker	1	54	2119	2173	369	50	1804009	1804009	629956	1	1	0.0248504371836171	0.13550135501355	0.975149562816383	0.0194195173083806	0.0308062579331379	0.11363478972551	0.160107530163381	0.969193742066862	0.980580482691619
bgs	V0.5_c2	emmax	B_floor_filtered_marker	2	62	2044	2106	369	57	1441627	1441627	267574	0.798952750539752	0.939166666666667	0.0294396961063628	0.154471544715447	0.970560303893637	0.0221252250791156	0.0379522627149942	0.127659574468085	0.182550932744232	0.962047737285006	0.977874774920885
bgs	V0.5_c2	emmax	B_floor_filtered_marker	3	57	1901	1958	369	54	1237515	1237515	165518	0.685696861591901	0.882833333333334	0.0291113381001021	0.146341463414634	0.970888661899898	0.0223769269020388	0.0364477642871347	0.122950819672131	0.171054390655784	0.963552235712865	0.977623073097961
bgs	V0.5_c2	emmax	B_floor_filtered_marker	5	60	1749	1809	369	57	972568	972568	86858	0.538709925759864	0.798666666666667	0.033167495854063	0.154471544715447	0.966832504145937	0.0268518722448302	0.039759378422782	0.134207218465157	0.17439012884283	0.960240621577218	0.97314812775517
bgs	V0.5_c2	emmax	B_floor_filtered_marker	10	57	1233	1290	369	55	625868	625868	32785	0.34640780530426	0.6	0.0441860465116279	0.149051490514905	0.955813953488372	0.0336978413018004	0.0552723193237691	0.123588727897099	0.174033149171271	0.944727680676231	0.9663021586982
bgs	V0.5_c2	emmax	B_floor_filtered_marker	20	30	578	608	369	32	328400	328400	10228	0.181568944305842	0.388666666666667	0.0493421052631579	0.0867208672086721	0.950657894736842	0.032637933946105	0.0719470038004684	0.064423705138892	0.108812878541881	0.928052996199532	0.967362066053895
bgs	V1_c1	emmax	B_floor_filtered_marker	1	96	141	237	143	75	1552470	1552470	900129	1	1	0.405063291139241	0.524475524475525	0.59493670886076	0.302418751207263	0.556818181818182	0.408751413591035	0.618722484698808	0.443181818181818	0.697581248792737
bgs	V1_c1	emmax	B_floor_filtered_marker	2	103	154	257	143	78	959774	959774	307433	0.618568237752791	0.991408934707904	0.400778210116732	0.545454545454545	0.599221789883269	0.309089583885502	0.537655086848635	0.439393939393939	0.631215005599104	0.462344913151365	0.690910416114498
