tag	cell	rep	env	method	r2_axes	mantel_r	n_pop	n_regions	n_FP	fp_prop	any_fp	mean_null
bgs	V0.5_c1.5	10	6	emmax_simes	0.888759440820639	0.352375988234906	80	1	0	0	0	9.74
bgs	V0.5_c1.5	10	7	emmax_consensus	0.929065281570856	0.432961248384403	80	3	2	0.666666666666667	1	10.015
bgs	V0.5_c1.5	10	7	emmax_simes	0.929065281570856	0.432961248384403	80	2	1	0.5	1	8.395
bgs	V0.5_c1.5	10	8	emmax_consensus	0.859846423777737	0.350457731665229	80	2	2	1	1	10.915
bgs	V0.5_c1.5	10	8	emmax_simes	0.859846423777737	0.350457731665229	80	1	1	1	1	7.835
bgs	V0.5_c1.5	10	9	emmax_consensus	0.846314595742453	0.362805964676675	80	0	0		0	7.36
bgs	V0.5_c1.5	10	9	emmax_simes	0.846314595742453	0.362805964676675	80	0	0		0	5.975
bgs	V0.5_c1.5	10	10	emmax_consensus	0.842931632101672	0.360038773126296	80	2	1	0.5	1	9.62
bgs	V0.5_c1.5	10	10	emmax_simes	0.842931632101672	0.360038773126296	80	3	2	0.666666666666667	1	6.77
bgs	V0.5_c2	2	1	emmax_consensus	0.889161484906949	0.526609675069189	80	0	0		0	26.56
bgs	V0.5_c2	2	1	emmax_simes	0.889161484906949	0.526609675069189	80	0	0		0	27.235
bgs	V0.5_c2	2	2	emmax_consensus	0.919597329808677	0.478060304723465	80	14	13	0.928571428571429	1	36.175
bgs	V0.5_c2	2	2	emmax_simes	0.919597329808677	0.478060304723465	80	22	21	0.954545454545455	1	36.21
bgs	V0.5_c2	2	3	emmax_consensus	0.925180432349117	0.552698380600527	80	21	21	1	1	39.815
bgs	V0.5_c2	2	3	emmax_simes	0.925180432349117	0.552698380600527	80	28	27	0.964285714285714	1	42.41
bgs	V0.5_c2	2	4	emmax_consensus	0.890775215873184	0.525927891551125	80	2	2	1	1	25.87
bgs	V0.5_c2	2	4	emmax_simes	0.890775215873184	0.525927891551125	80	6	6	1	1	28.675
bgs	V0.5_c2	2	5	emmax_consensus	0.908184280199961	0.445919050482822	80	0	0		0	40.025
bgs	V0.5_c2	2	5	emmax_simes	0.908184280199961	0.445919050482822	80	0	0		0	42.73
bgs	V0.5_c2	2	6	emmax_consensus	0.889974146606627	0.341212658654682	80	7	7	1	1	35.27
bgs	V0.5_c2	2	6	emmax_simes	0.889974146606627	0.341212658654682	80	16	16	1	1	37.355
bgs	V0.5_c2	2	7	emmax_consensus	0.927628256653683	0.472820387242885	80	3	3	1	1	37.295
bgs	V0.5_c2	2	7	emmax_simes	0.927628256653683	0.472820387242885	80	8	8	1	1	38.58
bgs	V0.5_c2	2	8	emmax_consensus	0.878732626531853	0.322574179449659	80	14	13	0.928571428571429	1	39.325
bgs	V0.5_c2	2	8	emmax_simes	0.878732626531853	0.322574179449659	80	17	16	0.941176470588235	1	41.405
bgs	V0.5_c2	2	9	emmax_consensus	0.862576787877494	0.414912934385693	80	0	0		0	30.685
bgs	V0.5_c2	2	9	emmax_simes	0.862576787877494	0.414912934385693	80	3	3	1	1	33.495
bgs	V0.5_c2	2	10	emmax_consensus	0.852828103119882	0.379589419296365	80	15	15	1	1	33.41
bgs	V0.5_c2	2	10	emmax_simes	0.852828103119882	0.379589419296365	80	18	18	1	1	34.435
bgs	V0.5_c2	5	1	emmax_consensus	0.886540697332939	0.522872987269463	80	2	2	1	1	26.06
bgs	V0.5_c2	5	1	emmax_simes	0.886540697332939	0.522872987269463	80	0	0		0	28.005
bgs	V0.5_c2	5	2	emmax_consensus	0.926229183562618	0.492016808743596	80	17	17	1	1	31.65
bgs	V0.5_c2	5	2	emmax_simes	0.926229183562618	0.492016808743596	80	20	20	1	1	34.915
bgs	V0.5_c2	5	3	emmax_consensus	0.924161864825531	0.550921436545118	80	20	19	0.95	1	33.635
bgs	V0.5_c2	5	3	emmax_simes	0.924161864825531	0.550921436545118	80	24	23	0.958333333333333	1	37.63
bgs	V0.5_c2	5	4	emmax_consensus	0.891420636535124	0.500402227651544	80	1	1	1	1	27.46
bgs	V0.5_c2	5	4	emmax_simes	0.891420636535124	0.500402227651544	80	9	8	0.888888888888889	1	29.355
bgs	V0.5_c2	5	5	emmax_consensus	0.891524828997937	0.465283252231826	80	1	1	1	1	47.965
bgs	V0.5_c2	5	5	emmax_simes	0.891524828997937	0.465283252231826	80	4	3	0.75	1	49.88
bgs	V0.5_c2	5	6	emmax_consensus	0.882117509737237	0.349004411381895	80	16	15	0.9375	1	29.72
bgs	V0.5_c2	5	6	emmax_simes	0.882117509737237	0.349004411381895	80	16	15	0.9375	1	31.1
bgs	V0.5_c2	5	7	emmax_consensus	0.922697986651165	0.458535279066402	80	8	8	1	1	31.625
bgs	V0.5_c2	5	7	emmax_simes	0.922697986651165	0.458535279066402	80	9	9	1	1	31.235
bgs	V0.5_c2	5	8	emmax_consensus	0.869612620545686	0.323605394339839	80	21	21	1	1	32.925
bgs	V0.5_c2	5	8	emmax_simes	0.869612620545686	0.323605394339839	80	27	26	0.962962962962963	1	32.665
bgs	V0.5_c2	5	9	emmax_consensus	0.847302823202097	0.415364172344636	80	0	0		0	26.165
bgs	V0.5_c2	5	9	emmax_simes	0.847302823202097	0.415364172344636	80	0	0		0	28.795
bgs	V0.5_c2	5	10	emmax_consensus	0.860438047496724	0.360488175860517	80	5	5	1	1	24.575
bgs	V0.5_c2	5	10	emmax_simes	0.860438047496724	0.360488175860517	80	14	14	1	1	27.005
bgs	V0.5_c2	6	1	emmax_consensus	0.888587917692522	0.521469109892088	80	1	0	0	0	30.79
bgs	V0.5_c2	6	1	emmax_simes	0.888587917692522	0.521469109892088	80	1	0	0	0	32.9
bgs	V0.5_c2	6	2	emmax_consensus	0.918580176967599	0.4716189673295	80	10	10	1	1	36.68
bgs	V0.5_c2	6	2	emmax_simes	0.918580176967599	0.4716189673295	80	11	11	1	1	40.61
bgs	V0.5_c2	6	3	emmax_consensus	0.924164780018208	0.540448116022082	80	17	17	1	1	36.82
bgs	V0.5_c2	6	3	emmax_simes	0.924164780018208	0.540448116022082	80	28	27	0.964285714285714	1	39.885
bgs	V0.5_c2	6	4	emmax_consensus	0.894150350264146	0.490526029956674	80	2	2	1	1	28.29
bgs	V0.5_c2	6	4	emmax_simes	0.894150350264146	0.490526029956674	80	0	0		0	30.885
bgs	V0.5_c2	6	5	emmax_consensus	0.898344930971625	0.436504289768514	80	6	6	1	1	40.11
