cell	method	arm	floor	precision	recall	prec_x_rec	prec_x_rec_ci_lo	prec_x_rec_ci_hi
V1_c1	lfmm	A_unrestricted_marker	20	0.36248012718601	0.575250836120401	0.208516996240781	0.172623641854042	0.244544548167548
V1_c1	lfmm	B_floor_filtered_marker	20	0.533333333333333	0.127090301003344	0.0677814938684504	0.0384769666151193	0.103961493446731
V1_c1	lfmm	C_stage1_simes	20	0.588235294117647	0.123745819397993	0.0727916584694078	0.0427912116296361	0.108997095526972
V1_c1.5	emmax	A_unrestricted_marker	1	0.096085409252669	0.111320754716981	0.0106963002752971	0.00552708343995146	0.017720688634976
V1_c1.5	emmax	B_floor_filtered_marker	1	0.096085409252669	0.111320754716981	0.0106963002752971	0.00552708343995146	0.017720688634976
V1_c1.5	emmax	C_stage1_simes	1	0.156779661016949	0.0773584905660377	0.0121282379277263	0.00552481429110834	0.0212835333693422
V1_c1.5	emmax	D_stage1_consensus	1	0.094017094017094	0.0452830188679245	0.0042573778422835	0.00236260921064804	0.00672162766093122
V1_c1.5	lfmm	A_unrestricted_marker	1	0.118874773139746	0.245283018867925	0.0291579632229565	0.0183424037535453	0.0421034332640979
V1_c1.5	lfmm	B_floor_filtered_marker	1	0.118874773139746	0.245283018867925	0.0291579632229565	0.0183424037535453	0.0421034332640979
V1_c1.5	lfmm	C_stage1_simes	1	0.175050301810865	0.169811320754717	0.0297255229490148	0.0162126817274322	0.0480090388089969
V1_c1.5	emmax	A_unrestricted_marker	2	0.096085409252669	0.111320754716981	0.0106963002752971	0.00552708343995146	0.017720688634976
V1_c1.5	emmax	B_floor_filtered_marker	2	0.101341281669151	0.133962264150943	0.0135759075443579	0.00716549066735058	0.0229340452898989
V1_c1.5	emmax	C_stage1_simes	2	0.115942028985507	0.0849056603773585	0.00984413453650533	0.00427434640919263	0.0179102934942003
V1_c1.5	emmax	D_stage1_consensus	2	0.0973684210526316	0.0754716981132076	0.00734856007944389	0.00442311230768961	0.0111704379946433
V1_c1.5	lfmm	A_unrestricted_marker	2	0.118874773139746	0.245283018867925	0.0291579632229565	0.0183424037535453	0.0421034332640979
V1_c1.5	lfmm	B_floor_filtered_marker	2	0.107692307692308	0.249056603773585	0.0268214804063861	0.0171598200797329	0.0386410322745345
V1_c1.5	lfmm	C_stage1_simes	2	0.141095890410959	0.2	0.0282191780821918	0.0155890296998494	0.0460513205226609
V1_c1.5	emmax	A_unrestricted_marker	3	0.096085409252669	0.111320754716981	0.0106963002752971	0.00552708343995146	0.017720688634976
V1_c1.5	emmax	B_floor_filtered_marker	3	0.114906832298137	0.141509433962264	0.0162604007969061	0.00932238985530982	0.0261551397148162
V1_c1.5	emmax	C_stage1_simes	3	0.12962962962963	0.1	0.012962962962963	0.00608957181428778	0.0227936462423095
V1_c1.5	emmax	D_stage1_consensus	3	0.113253012048193	0.0962264150943396	0.0108979313480336	0.00679837452981236	0.0161834566009292
V1_c1.5	lfmm	A_unrestricted_marker	3	0.118874773139746	0.245283018867925	0.0291579632229565	0.0183424037535453	0.0421034332640979
V1_c1.5	lfmm	B_floor_filtered_marker	3	0.111683848797251	0.247169811320755	0.0276048758347922	0.0176602748459892	0.0387634281997852
V1_c1.5	lfmm	C_stage1_simes	3	0.135240572171652	0.20188679245283	0.0273032853252202	0.0136829232527239	0.0442532732917594
V1_c1.5	emmax	A_unrestricted_marker	5	0.096085409252669	0.111320754716981	0.0106963002752971	0.00552708343995146	0.017720688634976
V1_c1.5	emmax	B_floor_filtered_marker	5	0.137065637065637	0.133962264150943	0.0183616230786042	0.0110405521354126	0.0271943828569503
V1_c1.5	emmax	C_stage1_simes	5	0.138643067846608	0.0905660377358491	0.0125563533144098	0.00664513308177711	0.0199290912303396
