route,floor,R,R_ntrl,f_ntrl,cell,tag,env
cons,2,1,0,0.515039876080631,V2_c1,nobgs,1
cons,5,1,0,0.520715255049094,V2_c1,nobgs,1
cons,8,3,0,0.528055602644516,V2_c1,nobgs,1
best,1,3,0,0.514112710061893,V2_c1,nobgs,1
best,2,2,0,0.515039876080631,V2_c1,nobgs,1
best,5,4,0,0.520715255049094,V2_c1,nobgs,1
best,8,18,4,0.528055602644516,V2_c1,nobgs,1
simes,1,2,0,0.514112710061893,V2_c1,nobgs,1
simes,2,1,0,0.515039876080631,V2_c1,nobgs,1
simes,5,1,0,0.520715255049094,V2_c1,nobgs,1
simes,8,4,0,0.528055602644516,V2_c1,nobgs,1
cons,1,18,6,0.511071100214527,V2_c1,nobgs,2
cons,2,9,1,0.510266175435692,V2_c1,nobgs,2
cons,5,12,4,0.50958391771856,V2_c1,nobgs,2
cons,8,16,8,0.504593175853018,V2_c1,nobgs,2
best,1,24,7,0.511071100214527,V2_c1,nobgs,2
best,2,36,11,0.510266175435692,V2_c1,nobgs,2
best,5,37,15,0.50958391771856,V2_c1,nobgs,2
best,8,37,14,0.504593175853018,V2_c1,nobgs,2
simes,1,17,6,0.511071100214527,V2_c1,nobgs,2
simes,2,8,1,0.510266175435692,V2_c1,nobgs,2
simes,5,5,1,0.50958391771856,V2_c1,nobgs,2
simes,8,14,7,0.504593175853018,V2_c1,nobgs,2
cons,1,16,2,0.515070716438674,V2_c1,nobgs,3
cons,2,19,3,0.517765103506548,V2_c1,nobgs,3
cons,5,15,0,0.521693632777912,V2_c1,nobgs,3
cons,8,21,0,0.532044760935911,V2_c1,nobgs,3
best,1,22,1,0.515070716438674,V2_c1,nobgs,3
best,2,27,3,0.517765103506548,V2_c1,nobgs,3
