tau,lmin,p_null_any,p_null_lo,p_null_hi,k_null,mean_null_regions,q50_null_regions,q90_null_regions,q95_null_regions,q99_null_regions,max_null_regions,mean_null_markers,mean_null_coverage,n_obs_regions,n_obs_markers,obs_coverage
0.36,20,0.03,0.0110874556722548,0.064150626705027,6,0.055,0,0,0,2.00999999999999,3,2.51,0.000222734936551602,0,0,0
0.38,1,0.47,0.399232941197114,0.541669499588525,94,4.545,0,7,15,141.13,166,11.585,0.00102804152986068,12,25,0.00221847546366137
0.38,2,0.265,0.205239091385922,0.331870092208618,53,1.72,0,2,4.04999999999998,56.1399999999999,83,8.76,0.000777353802466945,6,19,0.00168604135238264
0.38,3,0.17,0.120695623236217,0.229371600393886,34,1,0,1,2,29.1399999999999,60,7.32,0.00064956961576005,2,11,0.000976129204011004
0.38,5,0.085,0.0502959186302573,0.132605165829552,17,0.495,0,0,1,13.1099999999999,29,5.615,0.000498269589138344,1,7,0.000621173129825184
0.38,10,0.055,0.0277722545520065,0.0962776444339129,11,0.15,0,0,1,5.00999999999999,6,3.37,0.000299050492501553,0,0,0
0.38,15,0.035,0.0141855258984192,0.0707809983509773,7,0.07,0,0,0,2.01999999999998,4,2.47,0.000219185375809744,0,0,0
0.38,20,0.025,0.00816616619084252,0.0573743511268459,5,0.05,0,0,0,2.00999999999999,3,2.13,0.000189014109503949,0,0,0
0.4,1,0.47,0.399232941197114,0.541669499588525,94,4.39,0,7,14.05,135.17,163,11.165,0.000990771142071168,12,24,0.00212973644511492
0.4,2,0.265,0.205239091385922,0.331870092208618,53,1.66,0,2,4.04999999999998,54.1299999999999,80,8.435,0.000748513621439347,5,17,0.00150856331528973
0.4,3,0.17,0.120695623236217,0.229371600393886,34,0.97,0,1,2,29.1199999999999,57,7.055,0.000626053775845239,2,11,0.000976129204011004
0.4,5,0.085,0.0502959186302573,0.132605165829552,17,0.48,0,0,1,12.1099999999999,28,5.395,0.000478747005058124,1,7,0.000621173129825184
0.4,10,0.055,0.0277722545520065,0.0962776444339129,11,0.15,0,0,1,5.00999999999999,6,3.25,0.000288401810275978,0,0,0
0.4,15,0.035,0.0141855258984192,0.0707809983509773,7,0.07,0,0,0,2.01999999999998,4,2.355,0.000208980388676901,0,0,0
0.4,20,0.025,0.00816616619084252,0.0573743511268459,5,0.05,0,0,0,2.00999999999999,3,2.015,0.000178809122371107,0,0,0
0.42,1,0.46,0.389479430029483,0.531723898008045,92,4.11,0,6.09999999999999,13.05,133.14,155,10.6,0.000940633596592422,11,22,0.00195225840802201
0.42,2,0.25,0.191607169622587,0.315962833329869,50,1.59,0,2,4.04999999999998,53.1199999999999,78,8.08,0.000717011269855355,5,16,0.00141982429674328
0.42,3,0.16,0.112087497645802,0.218299015351341,32,0.935,0,1,2,29.1099999999999,56,6.77,0.0006007631555595,2,10,0.000887390185464549
0.42,5,0.085,0.0502959186302573,0.132605165829552,17,0.48,0,0,1,12.1099999999999,28,5.25,0.000465879847368888,1,7,0.000621173129825184
0.42,10,0.055,0.0277722545520065,0.0962776444339129,11,0.15,0,0,1,5.00999999999999,6,3.13,0.000277753128050404,0,0,0
0.42,15,0.035,0.0141855258984192,0.0707809983509773,7,0.07,0,0,0,2.01999999999998,4,2.25,0.000199662791729523,0,0,0
0.42,20,0.025,0.00816616619084252,0.0573743511268459,5,0.05,0,0,0,2.00999999999999,3,1.925,0.000170822610701926,0,0,0
0.44,1,0.425,0.355561177258705,0.49669586816519,85,3.88,0,6,11.1,128.13,147,10.08,0.000894489306948265,10,20,0.0017747803709291
0.44,2,0.23,0.17358086280159,0.294606394565981,46,1.525,0,2,4,52.1299999999999,77,7.725,0.000685508918271364,5,15,0.00133108527819682
0.44,3,0.135,0.0908871017548978,0.190309172683398,27,0.885,0,1,2,28.1099999999999,55,6.445,0.000571922974531902,2,9,0.000798651166918094
0.44,5,0.085,0.0502959186302573,0.132605165829552,17,0.465,0,0,1,12.1099999999999,26,5.03,0.000446357263288668,1,6,0.000532434111278729
0.44,10,0.055,0.0277722545520065,0.0962776444339129,11,0.15,0,0,1,5.00999999999999,6,3.025,0.000268435531103026,0,0,0
0.44,15,0.035,0.0141855258984192,0.0707809983509773,7,0.07,0,0,0,2.01999999999998,4,2.16,0.000191676280060343,0,0,0
0.44,20,0.025,0.00816616619084252,0.0573743511268459,5,0.05,0,0,0,2.00999999999999,3,1.845,0.000163723489218209,0,0,0
0.46,1,0.42,0.350743857791056,0.49166382512262,84,3.675,0,5.09999999999999,11,120.13,141,9.705,0.000861212174993345,10,18,0.00159730233383619
0.46,2,0.23,0.17358086280159,0.294606394565981,46,1.515,0,2,4,52.1199999999999,77,7.545,0.000669535894933002,4,12,0.00106486822255746
0.46,3,0.135,0.0908871017548978,0.190309172683398,27,0.86,0,1,2,28.0899999999999,54,6.235,0.000553287780637146,2,8,0.000709912148371639
